canonical_name,catalog_exercise_id_if_resolvable,family,base_movement,default_measurement_mode,allowed_measurement_modes,sets_applicable,load_applicability,rir_applicability,distance_unit_recommendation,measurement_disposition,confidence,notes
Band Shoulder Press,,vertical_press,overhead_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Lat Pulldown,,vertical_pull,lat_pulldown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Straight-Arm Pulldown,,vertical_pull,straight_arm_pulldown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Pull-Through,,hip_hinge,pull_through,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Good Morning,,hip_hinge,good_morning,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Resisted Push-Up,,horizontal_press,push_up,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Pallof Press,,core_anti_rotation,pallof_press,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled anti-rotation presses; resistance applies, while RIR is optional and technique-dependent."
Band Woodchop,,rotational_core,woodchop,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Lateral Walk,,hip_abduction,lateral_walk,reps,reps|distance,yes,applicable,ambiguous,meters,MULTI_MODE_VALID,medium,Band steps can be counted or prescribed by distance; RIR is mode- and technique-dependent.
Band Monster Walk,,hip_abduction,monster_walk,reps,reps|distance,yes,applicable,ambiguous,meters,MULTI_MODE_VALID,medium,Band steps can be counted or prescribed by distance; RIR is mode- and technique-dependent.
Band Glute Bridge,,hip_extension,glute_bridge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Single-Arm Cable Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable High Row,,rowing,high_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Reverse Fly,,rear_delt_retraction,rear_delt_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Chest Fly,,chest_fly,chest_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Single-Arm Cable Press,,horizontal_press,standing_chest_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Upright Row,,shoulder_elevation,upright_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Y Raise,,shoulder_elevation,y_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable External Rotation,,shoulder_rotation,external_rotation,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; cable load applies, while RIR is optional/technique-dependent."
Cable Internal Rotation,,shoulder_rotation,internal_rotation,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; cable load applies, while RIR is optional/technique-dependent."
Cable Pull-Through,,hip_hinge,pull_through,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Crunch,,trunk_flexion,cable_crunch,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Pallof Press,,core_anti_rotation,pallof_press,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled anti-rotation presses; cable load applies, while RIR is optional/technique-dependent."
Rope Triceps Pressdown,,elbow_extension,triceps_pressdown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Rope Overhead Triceps Extension,,elbow_extension,overhead_triceps_extension,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Rope Hammer Curl,,elbow_flexion,hammer_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Rope Face Pull,,rear_delt_retraction,face_pull,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Straight-Arm Cable Pulldown,,vertical_pull,straight_arm_pulldown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Stability Ball Hamstring Curl,,knee_flexion,hamstring_curl,reps,reps,yes,not_applicable,applicable,,MEASUREMENT_CLEAR,high,"Count dynamic knee-flexion repetitions; external load is not inherent, while RIR remains meaningful."
Stability Ball Rollout,,core_anti_extension,rollout,reps,reps,yes,not_applicable,ambiguous,,MEASUREMENT_CLEAR,high,Count rollout repetitions; external load is not inherent and RIR is technique-limited.
Stability Ball Plank,,core_anti_extension,plank,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,"Isometric unstable-surface plank; duration is primary, optional external load can be observed, and rep-based RIR does not apply."
Stability Ball Stir-the-Pot,,core_anti_extension,stir_the_pot,reps,reps|duration,yes,not_applicable,not_applicable,,MULTI_MODE_VALID,medium,Circles can be counted or the brace can be timed; repetitions preserve the movement-cycle default.
Stability Ball Wall Squat,,bilateral_knee_dominant,squat,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Stability Ball Dead Bug,,core_anti_extension,dead_bug,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic control drill; count deliberate repetitions, while RIR is not a useful default target."
Treadmill Easy Jog,,treadmill_locomotion,treadmill_jog,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,"Jogging is physical locomotion; duration defaults with distance allowed, while easy remains protocol semantics."
Treadmill Hill Intervals,,treadmill_locomotion,treadmill_locomotion_unspecified,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Duration defaults with distance allowed; hill intervals remain protocol and locomotion mode is still unspecified.
Treadmill Tempo Run,,treadmill_locomotion,treadmill_run,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,"Running is physical locomotion; duration defaults with distance allowed, while tempo remains protocol semantics."
Bike Recovery Ride,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Stationary cycling defaults to duration with distance allowed; recovery remains protocol semantics.
Bike Tempo Ride,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Stationary cycling defaults to duration with distance allowed; tempo remains protocol semantics.
Bike Hill Intervals,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,"Stationary cycling defaults to duration with distance allowed; hill intervals describe resistance protocol, not physical grade."
Wall Push-Up,,horizontal_press,push_up,reps,reps,yes,not_applicable,applicable,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; no external load is inherent, while RIR remains meaningful for this strength regression."
Scapular Push-Up,,horizontal_press,push_up,reps,reps,yes,not_applicable,ambiguous,,MEASUREMENT_CLEAR,high,Count scapular repetitions; RIR is technique-dependent rather than a safe universal target.
Plank Shoulder Tap,,core_anti_rotation,plank_shoulder_tap,reps,reps|duration,yes,not_applicable,not_applicable,,MULTI_MODE_VALID,medium,Alternating taps can be counted or timed; repetitions preserve the default movement-cycle measurement.
Reverse Crunch,,trunk_flexion,reverse_crunch,reps,reps,yes,not_applicable,applicable,,MEASUREMENT_CLEAR,high,"Count dynamic trunk-flexion repetitions; added load is not inherent, while RIR can remain meaningful."
Heel Tap,,trunk_flexion,heel_tap,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic control drill; count deliberate repetitions, while RIR is not a useful default target."
Side Plank Reach-Through,,lateral_core_stability,side_plank,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic control drill; count deliberate repetitions, while RIR is not a useful default target."
Seated Knee Tuck,,trunk_flexion,seated_knee_tuck,reps,reps,yes,not_applicable,applicable,,MEASUREMENT_CLEAR,high,"Count dynamic knee-tuck repetitions; external load is not inherent, while RIR can remain meaningful."
Toe Walk,,gait_drill,toe_walk,distance,duration|distance,yes,not_applicable,not_applicable,meters,MULTI_MODE_VALID,medium,"Gait drill is distance-first, with duration valid when space or route length is constrained."
Heel Walk,,gait_drill,heel_walk,distance,duration|distance,yes,not_applicable,not_applicable,meters,MULTI_MODE_VALID,medium,"Gait drill is distance-first, with duration valid when space or route length is constrained."
Prone Y-T-W Raise,,shoulder_mobility,prone_y_t_w_raise,reps,reps,yes,optional,ambiguous,,MEASUREMENT_CLEAR,high,Count controlled Y-T-W repetitions; light load is optional and RIR is technique-dependent.
Cat-Cow,,mobility,cat_cow,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,Dynamic mobility drill; count complete flexion-extension cycles rather than defaulting to a static duration.
Quadruped T-Spine Rotation,,mobility,quadruped_t_spine_rotation,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,Dynamic mobility drill; count deliberate rotations rather than defaulting to duration.
Half-Kneeling Hip Flexor Stretch,,mobility,hip_flexor_stretch,duration,duration,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Static mobility identity; prescribe hold duration, with load and RIR not applicable."
90/90 Hip Switch,,mobility,hip_90_90_switch,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,Dynamic hip-mobility drill; count complete side-to-side switches rather than defaulting to duration.
Child's Pose Lat Stretch,,mobility,childs_pose_lat_stretch,duration,duration,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Static mobility identity; prescribe hold duration, with load and RIR not applicable."
Wall Slide,,shoulder_mobility,wall_slide,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,Dynamic shoulder-mobility drill; count deliberate wall-slide repetitions.
Dumbbell Squeeze Press,,horizontal_press,squeeze_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Low-Incline Dumbbell Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Tate Press,,elbow_extension,tate_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Reverse Curl,,elbow_flexion,reverse_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Cross-Body Hammer Curl,,elbow_flexion,hammer_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Spider Curl,,elbow_flexion,spider_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Suitcase Deadlift,,hip_hinge,deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Farmer March,,loaded_carry,farmer_carry,reps,reps|duration,yes,applicable,ambiguous,,MULTI_MODE_VALID,medium,In-place loaded marching differs from a carry: count steps by default or time the march; distance is not primary.
Dumbbell Suitcase March,,loaded_carry,suitcase_carry,reps,reps|duration,yes,applicable,ambiguous,,MULTI_MODE_VALID,medium,In-place unilateral marching differs from a carry: count steps by default or time the march; distance is not primary.
Dumbbell Tempo Goblet Squat,,bilateral_knee_dominant,goblet_squat,reps,reps,yes,applicable,applicable,,PROTOCOL_IDENTITY_CANDIDATE,medium,"Physical goblet-squat work remains repetition-based; tempo is protocol, not measurement."
Dumbbell Heel-Elevated Goblet Squat,,bilateral_knee_dominant,goblet_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Offset Reverse Lunge,,unilateral_knee_dominant,reverse_lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Skater Squat,,unilateral_knee_dominant,skater_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Renegade Row,,rowing,renegade_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Shrug,,scapular_elevation,shrug,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Calf Raise,,ankle_plantarflexion,calf_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Rack Pull,,hip_hinge,rack_pull,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Hip Hinge Drill,,hip_hinge,hip_hinge_drill,reps,reps,yes,applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Technique drill is repetition-counted; the bar is part of setup, while RIR should not be a default target."
Barbell Tall-Kneeling Press,,vertical_press,overhead_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Lunge,,unilateral_knee_dominant,lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Reverse-Grip Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Drag Curl,,elbow_flexion,drag_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Close-Grip Floor Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar JM Press,,elbow_extension,jm_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Pull-Up Bar Dead Hang,,vertical_pull,bar_hang,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,Physical alias candidate remains a duration-based bar hang; optional load may be observed and rep-based RIR does not apply.
Pull-Up Flexed-Arm Hang,,vertical_pull,flexed_arm_hang,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,Flexed-arm isometric hang is duration-based; optional load may be observed and rep-based RIR does not apply.
Band Chest Press,,horizontal_press,standing_chest_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Squat,,bilateral_knee_dominant,squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Split Squat,,unilateral_knee_dominant,split_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Romanian Deadlift,,hip_hinge,romanian_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Hamstring Curl,,knee_flexion,hamstring_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Dead Bug Pulldown,,core_anti_extension,band_dead_bug_pulldown,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; band resistance applies, while RIR is technique-dependent for this anti-extension drill."
Band Anti-Rotation Hold,,core_anti_rotation,anti_rotation_hold,duration,duration,yes,applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Resisted isometric anti-rotation work is duration-based; resistance applies, while rep-based RIR does not."
Band Shoulder Dislocate,,shoulder_mobility,shoulder_dislocate,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic shoulder-mobility drill; count complete passes, with the band serving as an implement rather than a load target."
Cable Chest Press,,horizontal_press,standing_chest_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Rear Delt Row,,rear_delt_retraction,rear_delt_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable 90/90 External Rotation,,shoulder_rotation,shoulder_90_90_external_rotation,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; cable load applies, while RIR is optional/technique-dependent."
Cable Lateral Lunge,,unilateral_knee_dominant,lateral_lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Romanian Deadlift,,hip_hinge,romanian_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Kickback,,hip_extension,glute_kickback,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"The identity is taxonomy-reviewable between glute and triceps uses, but either plausible cable movement is repetition-based with load and RIR applicable."
Cable Anti-Rotation Hold,,core_anti_rotation,anti_rotation_hold,duration,duration,yes,applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Resisted isometric anti-rotation work is duration-based; cable load applies, while rep-based RIR does not."
Rope Cable Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Treadmill Recovery Walk,,treadmill_locomotion,treadmill_walk,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,"Walking is physical locomotion; duration defaults with distance allowed, while recovery remains protocol semantics."
Treadmill Easy Intervals,,treadmill_locomotion,treadmill_locomotion_unspecified,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Duration defaults with distance allowed; easy intervals remain protocol and locomotion mode is still unspecified.
Bike Easy Spin,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Stationary cycling defaults to duration with distance allowed; easy remains protocol semantics.
Bike Cadence Drill,,stationary_cycling,stationary_bike,duration,duration,yes,not_applicable,not_applicable,,PROTOCOL_IDENTITY_CANDIDATE,medium,"Cadence work is best prescribed by duration in v1; cadence itself remains deferred protocol detail, not a new measurement type."
