canonical_name,current_exercise_type,current_movement_pattern,current_equipment_required,proposed_family,proposed_base_movement,physical_variant_attributes,prescription_or_protocol_attributes,visual_identity_candidate,catalog_disposition,confidence,notes
Suitcase Carry,conditioning,carry,dumbbell,loaded_carry,suitcase_carry,equipment=dumbbell; laterality=unilateral; load_position=suitcase; locomotion_mode=walk,,visual_suitcase_carry,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Waiter Carry,conditioning,carry,dumbbell,loaded_carry,waiter_carry,equipment=dumbbell; laterality=unilateral; load_position=overhead; locomotion_mode=walk,,visual_waiter_carry,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Front Rack Carry,conditioning,carry,dumbbell,loaded_carry,front_rack_carry,equipment=dumbbell; load_position=front_rack; locomotion_mode=walk,,visual_dumbbell_front_rack_carry,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Calf Raise,strength,conditioning,dumbbell,ankle_plantarflexion,calf_raise,equipment=dumbbell,,visual_dumbbell_calf_raise,TAXONOMY_REVIEW_REQUIRED,medium,Current conditioning pattern conflicts with calf-raise semantics.
Pause Squat,strength,squat,barbell; rack; plates,bilateral_knee_dominant,barbell_squat_unspecified,equipment=barbell+rack+plates,protocol=pause,visual_pause_squat,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Pause is protocol-like over the same under-specified barbell-squat template; unresolved Barbell Squat cannot anchor shared visual media.
Box Squat,strength,squat,barbell; rack; plates; adjustable_bench,bilateral_knee_dominant,squat,equipment=barbell+rack+plates+adjustable_bench; support_type=bench,,visual_box_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Reverse Lunge,strength,lunge,barbell; rack; plates,unilateral_knee_dominant,reverse_lunge,equipment=barbell+rack+plates; stance=split,,visual_barbell_reverse_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Split Squat,strength,lunge,barbell; rack; plates,unilateral_knee_dominant,split_squat,equipment=barbell+rack+plates; stance=split,,visual_barbell_split_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Good Morning,strength,hinge,barbell; rack; plates,hip_hinge,good_morning,equipment=barbell+rack+plates,,visual_barbell_good_morning,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Glute Bridge,strength,hinge,barbell; plates,hip_extension,glute_bridge,equipment=barbell+plates,,visual_barbell_glute_bridge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Floor Press,strength,horizontal_push,barbell; plates,horizontal_press,bench_press,equipment=barbell+plates; support_type=floor,,visual_barbell_floor_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Close-Grip Bench Press,strength,horizontal_push,barbell; rack; plates; adjustable_bench,horizontal_press,bench_press,equipment=barbell+rack+plates+adjustable_bench; support_type=bench; grip=close,,visual_close_grip_bench_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Incline Barbell Bench Press,strength,horizontal_push,barbell; rack; plates; adjustable_bench,horizontal_press,bench_press,equipment=barbell+rack+plates+adjustable_bench; support_type=bench; bench_angle=incline,,visual_incline_barbell_bench_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Push Press,strength,vertical_push,barbell; rack; plates,vertical_press,push_press,equipment=barbell+rack+plates; execution_mode=dynamic; lower_body_drive=deliberate,,visual_push_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Pendlay Row,strength,horizontal_pull,barbell; plates,rowing,pendlay_row,equipment=barbell+plates,,visual_pendlay_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell High Pull,strength,horizontal_pull,barbell; plates,vertical_power_pull,high_pull,equipment=barbell+plates,,visual_barbell_high_pull,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Curl,strength,arms_biceps,barbell; plates,elbow_flexion,curl,equipment=barbell+plates,,visual_barbell_curl,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Rollout,core,core_anti_extension,barbell; plates,core_anti_extension,rollout,equipment=barbell+plates; execution_mode=dynamic,,visual_barbell_rollout,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Plate Front Raise,strength,vertical_push,plates,shoulder_elevation,shoulder_raise,equipment=plates,,visual_plate_front_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Plate Curl,strength,arms_biceps,plates,elbow_flexion,curl,equipment=plates,,visual_plate_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Plate Pinch Carry,conditioning,carry,plates,loaded_carry,pinch_grip_carry,equipment=plates; grip=pinch; locomotion_mode=walk,,visual_plate_pinch_carry,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Reverse Curl,strength,arms_biceps,ez_bar; plates,elbow_flexion,reverse_curl,equipment=ez_bar+plates; grip=reverse,,visual_ez_bar_reverse_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Preacher-Style Curl,strength,arms_biceps,ez_bar; plates; adjustable_bench,elbow_flexion,preacher_curl,equipment=ez_bar+plates+adjustable_bench; support_type=bench,,visual_ez_bar_preacher_style_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Overhead Triceps Extension,strength,arms_triceps,ez_bar; plates,elbow_extension,overhead_triceps_extension,equipment=ez_bar+plates,,visual_ez_bar_overhead_triceps_extension,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Upright Row,strength,vertical_push,ez_bar; plates,shoulder_elevation,upright_row,equipment=ez_bar+plates; movement_direction=vertical,,visual_ez_bar_upright_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Neutral-Grip Pull-Up,strength,vertical_pull,pull_up_bar,vertical_pull,pull_up,equipment=pull_up_bar; grip=neutral,,visual_neutral_grip_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Negative Pull-Up,strength,vertical_pull,pull_up_bar,vertical_pull,pull_up,equipment=pull_up_bar; execution_mode=eccentric_only,,visual_negative_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Scapular Pull-Up,strength,vertical_pull,pull_up_bar,vertical_pull,pull_up,equipment=pull_up_bar; range_of_motion_variant=scapular,,visual_scapular_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Commando Pull-Up,strength,vertical_pull,pull_up_bar,vertical_pull,commando_pull_up,equipment=pull_up_bar; grip=mixed,,visual_commando_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dead Hang,mobility,vertical_pull,pull_up_bar,vertical_pull,bar_hang,equipment=pull_up_bar; execution_mode=isometric,,visual_dead_hang,ALIAS_OR_DUPLICATE_CANDIDATE,medium,Possible equivalent to Pull-Up Bar Dead Hang; remains separate until setup/instruction/media review confirms an alias.
Hanging Leg Raise,core,core_anti_extension,pull_up_bar,trunk_flexion,hanging_leg_raise,equipment=pull_up_bar; execution_mode=dynamic,,visual_hanging_leg_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Hanging Oblique Knee Raise,core,core_anti_rotation,pull_up_bar,lateral_trunk_flexion,hanging_oblique_knee_raise,equipment=pull_up_bar; execution_mode=dynamic,,visual_hanging_oblique_knee_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Biceps Curl,strength,arms_biceps,resistance_band,elbow_flexion,curl,equipment=resistance_band,,visual_band_biceps_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Hammer Curl,strength,arms_biceps,resistance_band,elbow_flexion,hammer_curl,equipment=resistance_band; grip=hammer,,visual_band_hammer_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Overhead Triceps Extension,strength,arms_triceps,resistance_band,elbow_extension,overhead_triceps_extension,equipment=resistance_band,,visual_band_overhead_triceps_extension,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Lateral Raise,strength,vertical_push,resistance_band,shoulder_elevation,shoulder_raise,equipment=resistance_band,,visual_band_lateral_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Shoulder Press,strength,vertical_push,resistance_band,vertical_press,overhead_press,equipment=resistance_band,,visual_band_shoulder_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Lat Pulldown,strength,vertical_pull,resistance_band,vertical_pull,lat_pulldown,equipment=resistance_band,,visual_band_lat_pulldown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Straight-Arm Pulldown,strength,vertical_pull,resistance_band,vertical_pull,straight_arm_pulldown,equipment=resistance_band,,visual_band_straight_arm_pulldown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Pull-Through,strength,hinge,resistance_band,hip_hinge,pull_through,equipment=resistance_band,,visual_band_pull_through,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Good Morning,strength,hinge,resistance_band,hip_hinge,good_morning,equipment=resistance_band,,visual_band_good_morning,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Resisted Push-Up,strength,horizontal_push,bodyweight; resistance_band,horizontal_press,push_up,equipment=bodyweight+resistance_band,,visual_band_resisted_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Pallof Press,core,core_anti_rotation,resistance_band,core_anti_rotation,pallof_press,equipment=resistance_band; execution_mode=dynamic,,visual_band_pallof_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Woodchop,core,core_anti_rotation,resistance_band,rotational_core,woodchop,equipment=resistance_band,,visual_band_woodchop,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Lateral Walk,strength,lunge,resistance_band,hip_abduction,lateral_walk,equipment=resistance_band; locomotion_mode=walk,,visual_band_lateral_walk,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Monster Walk,strength,lunge,resistance_band,hip_abduction,monster_walk,equipment=resistance_band; locomotion_mode=walk,,visual_band_monster_walk,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Glute Bridge,strength,hinge,bodyweight; resistance_band,hip_extension,glute_bridge,equipment=bodyweight+resistance_band,,visual_band_glute_bridge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Single-Arm Cable Row,strength,horizontal_pull,cable,rowing,row,equipment=cable; laterality=unilateral,,visual_single_arm_cable_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable High Row,strength,horizontal_pull,cable,rowing,high_row,equipment=cable; movement_direction=high_diagonal,,visual_cable_high_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Reverse Fly,strength,horizontal_pull,cable,rear_delt_retraction,rear_delt_fly,equipment=cable,,visual_cable_reverse_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Chest Fly,strength,horizontal_push,cable,chest_fly,chest_fly,equipment=cable,,visual_cable_chest_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Single-Arm Cable Press,strength,horizontal_push,cable,horizontal_press,standing_chest_press,equipment=cable; laterality=unilateral,,visual_single_arm_cable_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Upright Row,strength,vertical_push,cable,shoulder_elevation,upright_row,equipment=cable; movement_direction=vertical,,visual_cable_upright_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Y Raise,strength,vertical_push,cable,shoulder_elevation,y_raise,equipment=cable,,visual_cable_y_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable External Rotation,strength,horizontal_pull,cable,shoulder_rotation,external_rotation,equipment=cable; execution_mode=dynamic,,visual_cable_external_rotation,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Internal Rotation,strength,horizontal_pull,cable,shoulder_rotation,internal_rotation,equipment=cable; execution_mode=dynamic,,visual_cable_internal_rotation,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Pull-Through,strength,hinge,cable; rope_cable_attachment,hip_hinge,pull_through,equipment=cable+rope_cable_attachment; attachment=rope,,visual_cable_pull_through,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Crunch,core,core_anti_extension,cable; rope_cable_attachment,trunk_flexion,cable_crunch,equipment=cable+rope_cable_attachment; attachment=rope; execution_mode=dynamic,,visual_cable_crunch,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Pallof Press,core,core_anti_rotation,cable,core_anti_rotation,pallof_press,equipment=cable; execution_mode=dynamic,,visual_cable_pallof_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rope Triceps Pressdown,strength,arms_triceps,cable; rope_cable_attachment,elbow_extension,triceps_pressdown,equipment=cable+rope_cable_attachment; attachment=rope,,visual_rope_triceps_pressdown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rope Overhead Triceps Extension,strength,arms_triceps,cable; rope_cable_attachment,elbow_extension,overhead_triceps_extension,equipment=cable+rope_cable_attachment; attachment=rope,,visual_rope_overhead_triceps_extension,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rope Hammer Curl,strength,arms_biceps,cable; rope_cable_attachment,elbow_flexion,hammer_curl,equipment=cable+rope_cable_attachment; grip=hammer; attachment=rope,,visual_rope_hammer_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rope Face Pull,strength,horizontal_pull,cable; rope_cable_attachment,rear_delt_retraction,face_pull,equipment=cable+rope_cable_attachment; attachment=rope,,visual_rope_face_pull,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Straight-Arm Cable Pulldown,strength,vertical_pull,cable,vertical_pull,straight_arm_pulldown,equipment=cable,,visual_straight_arm_cable_pulldown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Hamstring Curl,strength,hinge,exercise_ball,knee_flexion,hamstring_curl,equipment=exercise_ball,,visual_stability_ball_hamstring_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Rollout,core,core_anti_extension,exercise_ball,core_anti_extension,rollout,equipment=exercise_ball; execution_mode=dynamic,,visual_stability_ball_rollout,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Plank,core,core_anti_extension,bodyweight; exercise_ball,core_anti_extension,plank,equipment=bodyweight+exercise_ball; execution_mode=isometric,,visual_stability_ball_plank,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Stir-the-Pot,core,core_anti_extension,exercise_ball,core_anti_extension,stir_the_pot,equipment=exercise_ball; execution_mode=dynamic,,visual_stability_ball_stir_the_pot,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Wall Squat,strength,squat,exercise_ball,bilateral_knee_dominant,squat,equipment=exercise_ball,,visual_stability_ball_wall_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Stability Ball Dead Bug,core,core_anti_extension,exercise_ball,core_anti_extension,dead_bug,equipment=exercise_ball; execution_mode=dynamic,,visual_stability_ball_dead_bug,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Treadmill Easy Jog,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_jog,equipment=treadmill; locomotion_mode=jog,protocol=easy,visual_treadmill_easy_jog,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Treadmill Hill Intervals,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_locomotion_unspecified,equipment=treadmill; locomotion_mode=unspecified; grade=incline,protocol=hill_intervals,visual_treadmill_hill_intervals,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,low,Canonical identity does not specify walk/jog/run; preserve that physical uncertainty and canonical ID until reviewed additive migration.
Treadmill Tempo Run,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_run,equipment=treadmill; locomotion_mode=run,protocol=tempo,visual_treadmill_tempo_run,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bike Recovery Ride,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=recovery,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bike Tempo Ride,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=tempo,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bike Hill Intervals,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=hill_intervals,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the stationary-bike base movement; hill is resistance protocol rather than physical grade.
Wall Push-Up,strength,horizontal_push,bodyweight,horizontal_press,push_up,equipment=bodyweight; body_position=standing; support_type=wall,,visual_wall_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Scapular Push-Up,strength,horizontal_push,bodyweight,horizontal_press,push_up,equipment=bodyweight; range_of_motion_variant=scapular,,visual_scapular_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Plank Shoulder Tap,core,core_anti_rotation,bodyweight,core_anti_rotation,plank_shoulder_tap,equipment=bodyweight; execution_mode=dynamic,,visual_plank_shoulder_tap,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Reverse Crunch,core,core_anti_extension,bodyweight,trunk_flexion,reverse_crunch,equipment=bodyweight; execution_mode=dynamic,,visual_reverse_crunch,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Heel Tap,core,core_anti_extension,bodyweight,trunk_flexion,heel_tap,equipment=bodyweight; execution_mode=dynamic,,visual_heel_tap,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Side Plank Reach-Through,core,core_anti_rotation,bodyweight,lateral_core_stability,side_plank,equipment=bodyweight; execution_mode=dynamic; movement_direction=rotation,,visual_side_plank_reach_through,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Seated Knee Tuck,core,core_anti_extension,bodyweight,trunk_flexion,seated_knee_tuck,equipment=bodyweight; body_position=seated; execution_mode=dynamic,,visual_seated_knee_tuck,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Toe Walk,conditioning,conditioning,bodyweight,gait_drill,toe_walk,equipment=bodyweight; locomotion_mode=walk,,visual_toe_walk,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Heel Walk,conditioning,conditioning,bodyweight,gait_drill,heel_walk,equipment=bodyweight; locomotion_mode=walk,,visual_heel_walk,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Prone Y-T-W Raise,mobility,horizontal_pull,bodyweight,shoulder_mobility,prone_y_t_w_raise,equipment=bodyweight; body_position=prone; execution_mode=dynamic,,visual_prone_y_t_w_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cat-Cow,mobility,mobility,bodyweight,mobility,cat_cow,equipment=bodyweight; body_position=quadruped; execution_mode=dynamic,,visual_cat_cow,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Quadruped T-Spine Rotation,mobility,mobility,bodyweight,mobility,quadruped_t_spine_rotation,equipment=bodyweight; body_position=quadruped; execution_mode=dynamic,,visual_quadruped_t_spine_rotation,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Half-Kneeling Hip Flexor Stretch,mobility,mobility,bodyweight,mobility,hip_flexor_stretch,equipment=bodyweight; body_position=half_kneeling; execution_mode=isometric,,visual_half_kneeling_hip_flexor_stretch,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
90/90 Hip Switch,mobility,mobility,bodyweight,mobility,hip_90_90_switch,equipment=bodyweight; body_position=seated; execution_mode=dynamic,,visual_90/90_hip_switch,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Child's Pose Lat Stretch,mobility,mobility,bodyweight,mobility,childs_pose_lat_stretch,equipment=bodyweight; body_position=childs_pose; execution_mode=isometric,,visual_child's_pose_lat_stretch,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Wall Slide,mobility,vertical_push,bodyweight,shoulder_mobility,wall_slide,equipment=bodyweight; support_type=wall; execution_mode=dynamic,,visual_wall_slide,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Squeeze Press,strength,horizontal_push,dumbbell; adjustable_bench,horizontal_press,squeeze_press,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_squeeze_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Low-Incline Dumbbell Press,strength,horizontal_push,dumbbell; adjustable_bench,horizontal_press,bench_press,equipment=dumbbell+adjustable_bench; support_type=bench; bench_angle=low_incline,,visual_low_incline_dumbbell_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Tate Press,strength,arms_triceps,dumbbell; adjustable_bench,elbow_extension,tate_press,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_tate_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Reverse Curl,strength,arms_biceps,dumbbell,elbow_flexion,reverse_curl,equipment=dumbbell; grip=reverse,,visual_dumbbell_reverse_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Cross-Body Hammer Curl,strength,arms_biceps,dumbbell,elbow_flexion,hammer_curl,equipment=dumbbell; grip=hammer; movement_direction=cross_body,,visual_dumbbell_cross_body_hammer_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Spider Curl,strength,arms_biceps,dumbbell; adjustable_bench,elbow_flexion,spider_curl,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_spider_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
